,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
11,06-11-2023,Nilganj Adaptation Clinic,Gutabacha,Nilganj,Damping off Chilli,Mix 20 grams of Bavistin or Autostin 50WDG fungicide per 10 liter of water and spray well on the soil at the bottom of the affected plant.,Adaptation Clinic,15-11-2023
12,06-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,"To control insects in tomato, Chilli, Pumpkin and Cucumber plants, as an advance measure in seedling stage and after transplanting, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed throughout the plant at regular intervals.",Mobile Adaptation Clinic,15-11-2023
13,08-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,"To control insects in Brinjal, Pumkin, Bottle Gourd and Khirai plants, as an advance measure in seedling stage and after transplanting, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed throughout the plant at regular intervals.",Mobile Adaptation Clinic,18-11-2023
14,13-11-2023,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,Gummy Stem Blight of Bottle Gourd,"Remove and destroy the affected plants, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water.",Mobile Adaptation Clinic,20-11-2023
15,14-11-2023,Nilganj Adaptation Clinic,Uttar Doulotpur,Nilganj,Leaf Curl of Chili,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves.",Adaptation Clinic,22-11-2023
16,14-11-2023,Nilganj Adaptation Clinic,Uttar Doulotpur,Nilganj,-,"As an advance measure to control insects in Chili plants organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed thoroughly over the entire plant, top and bottom of the leaves at regular intervals from seedling stage.",Adaptation Clinic,22-112023
17,14-11-2023,Nilganj Adaptation Clinic,Uttar Doulotpur,Nilganj,-,"As an advance measure to control insects in Chili, Tomato, Brinjal plants organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed thoroughly over the entire plant, top and bottom of the leaves at regular intervals from seedling stage.
Thinning of plants to maintain plant spacing and Weeding
",Adaptation Clinic,22-11-2023
18,15-11-2023,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,Fall Army Worm of Maize,Carbaryl group insecticide Vitabril should be applied by mixing 3 grams per liter of water.,Mobile Adaptation Clinic,23-11-2023
19,16-11-2023,Nilganj Adaptation Clinic,Hazipur,Nilganj,Gummy Stem Blight of Bottle Gourd,"1) Remove and destroy the affected plants.
2) Spray every 7-10 days with 2 grams Ridomil Gold per liter of water.
     OR
Spray on plants by making Bordeaux mixer.
",Adaptation Clinic,23-11-2023
20,19-11-2023,Nilganj Adaptation Clinic,Goiatola,Nilganj,Pod Borer of Bean,"1. Collect and destroy infested flowers or fruit with insects daily.
2. Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water.
",Adaptation Clinic,26-11-2023
21,20-11-2023,Nilganj Adaptation Clinic,Goiatola,Nilganj,White Fly in Pumpkin Mobile Adaptation Clinic,"For control of whitefly in Pumpkin Mobile Adaptation Clinics, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water should be sprayed well on the entire plant at regular intervals.",Adaptation Clinic,27-11-2023
22,21-11-2023,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fall Army Worm of Maize,Nitro 505 EC insecticide 1 ml per liter of water should be mixed proportionally and sprayed on the plants well in the late afternoon.,Adaptation Clinic,28-11-2023
23,23-11-2023,Nilganj Adaptation Clinic,Purbo Sonatola,Nilganj,Insects in vegetables Mobile Adaptation Clinics,"For control of insects in vegetables Mobile Adaptation Clinics, organic insecticides such as detergent powder, neem leaf extract, mahogany tree fruit extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals.",Mobile Adaptation Clinic,30-11-2023
24,28-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Downy Mildew of Cucumber,"Remove and destroy the affected leaves, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water.",Mobile Adaptation Clinic,05-12-2023
25,28-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Leaf Curling of Chilli and Cucumber,"For control of vector insects in pepper and cucumber plant, organic insecticides such as neem leaf extract, detergent powder, mahogany tree seed extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals.",Mobile Adaptation Clinic,05-12-2023
26,28-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Anthracnose of Khirai,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water.",Mobile Adaptation Clinic,05-12-2023
27,28-11-2023,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Anthracnose of Khirai,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water.",Mobile Adaptation Clinic,05-12-2023
28,07-12-2023,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Brinjal Shoot and Fruit Borer,Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water.,Mobile Adaptation Clinic,14-12-2023
29,07-12-2023,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Wilting of Brinjal,Prepare a Bordeaux mixture and spray it on the soil around the base of the plant.,Mobile Adaptation Clinic,14-12-2023
30,07-12-2023,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Regular weeding from the land to eliminate competition for nutrients with crops and reduce the risk of pests and diseases. Irrigation in the early morning or late afternoon to reduce water loss through evaporation and risk of fungal diseases. Staking tomato plants at the base of the plant support upright growth and fruit bearing.,Mobile Adaptation Clinic,14-12-2023
31,07-12-2023,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Regular weeding from the land to eliminate competition for nutrients with crops and reduce the risk of pests and diseases. Irrigation in the early morning or late afternoon to reduce water loss through evaporation and risk of fungal diseases. Staking tomato plants at the base of the plant support upright growth and fruit bearing.,Mobile Adaptation Clinic,14-12-2023
32,10-12-2023,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Brinjal Shoot and Fruit Borer,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days.",Adaptation Clinic,17-12-2023
33,10-12-2023,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Leaf Curl of Chili,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves.",Adaptation Clinic,17-12-2023
34,17-12-2023,Nilganj Adaptation Clinic,Akkelpur,Nilganj,Brinjal Shoot and Fruit Borer,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days.",Adaptation Clinic,27-12-2023
35,20-12-2023,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Fall Army Worm of Maize,Proclaim (1gm/L) or Tracer from the Spinosad group (0.4 ml/L) or Nitro (1ml/L) insecticides should be sprayed in the afternoon.,Mobile Adaptation Clinic,27-12-2023
36,20-12-2023,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Leaf Curl of Chili,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves.",Mobile Adaptation Clinic,27-12-2023
37,02-01-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,09-01-2024
38,04-01-2024,Nilganj Adaptation Clinic,Uttar Doulatpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
39,04-01-2024,Nilganj Adaptation Clinic,Uttar Doulatpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
40,04-01-2024,Nilganj Adaptation Clinic,Dokkhin Doulotpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
41,04-01-2024,Nilganj Adaptation Clinic,Purbo Doulotpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
42,04-01-2024,Nilganj Adaptation Clinic,Purbo Doulotpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
43,04-01-2024,Nilganj Adaptation Clinic,Khalilpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
44,04-01-2024,Nilganj Adaptation Clinic,Purbo Amirabad,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,11-01-2024
45,08-01-2024,Nilganj Adaptation Clinic,Dokkhin Doulotpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
46,08-01-2024,Nilganj Adaptation Clinic,Dokkhin Doulotpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
47,08-01-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
48,08-01-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
49,08-01-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
50,08-01-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,15-01-24
51,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,16-01-24
52,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
53,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
54,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
55,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
56,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
57,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
58,09-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,16-01-24
59,10-01-2024,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,17-01-24
60,10-01-2024,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,17-01-24
61,10-01-2024,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,17-01-24
62,10-01-2024,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,17-01-24
63,11-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Gummy Stem Blight of Bottle Gourd,Mancozeb + Metalaxyl group fungicide Ridomilgold MZ 68 WG mixed with water at the rate of 5.0 gm per liter and sprayed.,Mobile Adaptation Clinic,18-01-24
64,11-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl Disease of Tomato,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Mobile Adaptation Clinic,18-01-24
65,11-01-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl Disease of Chili,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Mobile Adaptation Clinic,18-01-24
66,11-01-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,18-01-24
67,15-01-24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Provide necessary advice to take care of Boro rice seedlings.,Mobile Adaptation Clinic,20-01-24
68,16-01-24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Mosaic Virus of Pumkin,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Adaptation Clinic,23-01-24
69,16-01-24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Mosaic Virus of Bitter Gourd,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Adaptation Clinic,23-01-24
70,16-01-24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Mosaic Virus of Yard Long Bean,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Adaptation Clinic,23-01-24
71,16-01-24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Leaf Curl Disease of Chili and Tomato,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Adaptation Clinic,23-01-24
72,21-01-24,Nilganj Adaptation Clinic,Uttar Doulotpur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,28-01-24
73,21-01-24,Nilganj Adaptation Clinic,Uttar Doulotpur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,28-01-24
74,22-01-24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,29-01-24
75,22-01-24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,29-01-24
76,22-01-24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,29-01-24
77,22-01-24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,29-01-24
78,24-01-24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,31-01-24
79,24-01-24,Nilganj Adaptation Clinic,Khalilpur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,31-01-24
80,24-01-24,Nilganj Adaptation Clinic,Khalilpur,Nilganj,-,"After sowing Maize seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,31-01-24
81,24-01-24,Nilganj Adaptation Clinic,Khalilpur,Nilganj,-,Provide guidance on sowing sunflower seeds properly.,Mobile Adaptation Clinic,31-01-24
82,25-01-24,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Leaf Curl Disease of Chili,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.",Mobile Adaptation Clinic,01-02-2024
83,25-01-24,Nilganj Adaptation Clinic,Holdibaria,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,01-02-2024
84,25-01-24,Nilganj Adaptation Clinic,Holdibaria,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,01-02-2024
85,25-01-24,Nilganj Adaptation Clinic,Holdibaria,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,01-02-2024
86,25-01-24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,01-02-2024
87,25-01-24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings.",Mobile Adaptation Clinic,01-02-2024
88,25-01-24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Damping off Sunflower,Carbendazim Group Fungicide Autostin 50 WG or Nowin 50 WP should be mixed at the rate of 2 gm / liter in water and spray on the soil of the plant base.,Mobile Adaptation Clinic,01-02-2024
89,31-01-24,Nilganj Adaptation Clinic,Dokkhin Doulotpur,Nilganj,Fall Army Worm of Maize,Chlorpyrifos + Cypermethrin group insecticide Nitro 505 EC should be mixed at the rate of 2 ml per liter of water and sprayed in the late afternoon.,Adaptation Clinic,08-02-2024
90,01-02-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,Site selection for Vermicompost plant,Farmers Field,08-02-2024
91,4/2/2024,Nilganj Adaptation Clinic,West Sonatola,Nilganj,Japanese Beetle of Maize,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Farmers Field,12-02-2024
92,4/2/2024,Nilganj Adaptation Clinic,Nababganj,Nilganj,-,Site selection for Vermicompost plant,Farmers Field,12-02-2024
93,4/2/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Yellow Mosaic of Pumkin,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Farmers Field,12-02-2024
94,4/2/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,12-02-2024
95,4/2/2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,12-02-2024
96,4/2/2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,12-02-2024
97,4/2/2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter water and spray.,Farmers Field,12-02-2024
98,5/2/2024,Nilganj Adaptation Clinic,Adampur,Nilganj,-,Soil test of Boro Rice field,Farmers Field,13/02/2024
99,5/2/2024,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Farmers Field,13/02/2024
100,5/2/2024,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.,Farmers Field,13/02/2024
101,5/2/2024,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.,Farmers Field,13/02/2024
102,5/2/2024,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Gap filling and extra seedlings should be uprooted.,Farmers Field,13/02/2024
103,6/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
104,6/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
105,6/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.,Farmers Field,14/02/2024
106,6/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
107,6/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
108,6/2/2024,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.,Farmers Field,14/02/2024
109,6/2/2024,Nilganj Adaptation Clinic,Holdibaria,Nilganj,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.,Farmers Field,14/02/2024
110,6/2/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
111,6/2/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
112,6/2/2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,14/02/2024
113,11/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,19/02/2024
114,11/2/2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,19/02/2024
115,11/2/2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,19/02/2024
116,12/2/2024,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,20/02/2024
117,12/2/2024,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,20/02/2024
118,12/2/2024,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,20/02/2024
119,12/2/2024,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.,Farmers Field,20/02/2024
120,13/2/24,Nilganj Adaptation Clinic,Doulatpur,Nilganj,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.,Farmers Field,22/02/2024
121,14/2/24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,22/02/2024
122,14/2/24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Damping off Sunflower,Carbendazim group fungicide should be mixed at the rate of 20 grams per 10 liters of water and sprayed in the afternoon.,Adaptation Clinic,22/02/2024
123,14/2/24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.,Farmers Field,22/02/2024
124,15/2/24,Nilganj Adaptation Clinic,Chandpara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,22/02/2024
125,15/2/24,Nilganj Adaptation Clinic,Chandpara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,22/02/2024
126,15/2/24,Nilganj Adaptation Clinic,Chandpara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,22/02/2024
127,15/2/24,Nilganj Adaptation Clinic,Chandpara,Nilganj,-,The first top dress of urea fertilizer and irrigation should be applied.,Farmers Field,22/02/2024
