123456789
,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
11,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Mobile Clinic,"10.09.24- Used pesticides, 70% of the problem is solved"
11,04.09.24,Rampal,Gobindapur,Uzalkur,"Wood Apple tree does not bear fruit for a long time, the tree is seven to eight years old.","It is recommended that the weeds be cleaned and Urea, TSP, MOP, and Boron fertilizers be applied. The branches should also be pruned.",Mobile Clinic,12.09.24- Weeding and fertilizer has been applied.
12,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd & Sweet Gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
14,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd & Sweet Gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
15,04.09.24,Rampal,Gobindapur,Uzalkur,"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended.",Mobile Clinic,14.09.24- Hand pruning and pruning done.
13,04.09.24,Rampal,Gobindapur,Uzalkur,"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended.",Mobile Clinic,14.09.24- Hand pruning and pruning done.
14,04.09.24,Rampal,Gobindapur,Uzalkur,"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended.",Mobile Clinic,14.09.24- Hand pruning and pruning done.
15,04.09.24,Rampal,Gobindapur,Uzalkur,Brinjal Shoot and fruit borer,"Lambdasyhalothrin @2ml/L (1+7+14 days interval), Weeding should be done regularly.",Mobile Clinic,
19,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,"07.09.24- 1st round spray completed, 40% recoverd."
20,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,"07.09.24- 1st round spray completed, 50% recovered."
21,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,"07.09.24- 1st round spray completed, 40% recovered."
22,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Adaptation Clinic,"07.09.24- Used pesticides, 70% of the problem is solved"
16,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Adaptation Clinic,"07.09.24- Used pesticides, 70% of the problem is solved"
17,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Adaptation Clinic,"07.09.24- Used pesticides, 70% of the problem is solved"
25,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Adaptation Clinic,"07.09.24- Used pesticides, 70% of the problem is solved"
26,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Adaptation Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
27,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Adaptation Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
28,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Adaptation Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
29,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Adaptation Clinic,"12.09.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use insecticides."
30,14.10.24,Rampal,Gobindapur,Uzalkur,Brinjal Shoot and fruit borer,"Lambdasyhalothrin @2ml/L (1+7+14 days interval), Weeding should be done regularly.",Mobile Clinic,18.10.24- Sprayed 2 round . Infestation reduce 70%
31,14.10.24,Rampal,Gobindapur,Uzalkur,Brinjal Shoot and fruit borer,"Lambdasyhalothrin @2ml/L (1+7+14 days interval), Weeding should be done regularly.",Mobile Clinic,18.10.24- Sprayed 2 round . Infestation reduce 70%
32,14.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,22.10.24- Started cultivating homestead vegetables  using a climate-adaptive technology
33,14.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,22.10.24- Started cultivating homestead vegetables  using a climate-adaptive technology
34,14.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,22.10.24- Started cultivating homestead vegetables  using a climate-adaptive technology
35,14.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,22.10.24- Started cultivating homestead vegetables  using a climate-adaptive technology
36,14.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,22.10.24- Started cultivating homestead vegetables  using a climate-adaptive technology
18,14.10.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"04.11.9.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use homemade insecticides "
38,27.10.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"04.11.9.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use homemade insecticides "
19,04.09.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"04.11.9.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use homemade insecticides "
40,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
41,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
42,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
43,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
44,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
45,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
46,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
47,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
48,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
49,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about papaya production technoloy,Advisory support are given about climate-tolerant papaya varieties and cultivation methods. Domestic methods of pest control are taught.,Mobile Clinic,02.11.9.24- Have started preparing the land and sowing seeds
50,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about papaya production technoloy,Advisory support are given about climate-tolerant papaya varieties and cultivation methods. Domestic methods of pest control are taught.,Mobile Clinic,02.11.9.24- Have started preparing the land and sowing seeds
51,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about papaya production technoloy,Advisory support are given about climate-tolerant papaya varieties and cultivation methods. Domestic methods of pest control are taught.,Mobile Clinic,02.11.9.24- Have started preparing the land and sowing seeds
52,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about papaya production technoloy,Advisory support are given about climate-tolerant papaya varieties and cultivation methods. Domestic methods of pest control are taught.,Mobile Clinic,02.11.9.24- Have started preparing the land and sowing seeds
53,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about papaya production technoloy,Advisory support are given about climate-tolerant papaya varieties and cultivation methods. Domestic methods of pest control are taught.,Mobile Clinic,02.11.9.24- Have started preparing the land and sowing seeds
54,27.10.24,Rampal,Gobindapur,Uzalkur,The banana tree is growing year after year but is not bearing fruit.,"Selection of improved and good varieties, weeding and balanced fertilizer application are advised.",Mobile Clinic,02.11.9.24- Have started preparing the land for improved varieties
55,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about the right time and fertilizer management of chili cultivation,"Can be cultivated throughout the year. It is recommended to apply Urea, TSP, MOP, Zinc, Boron in balanced doses.",Mobile Clinic,06.11.24- Prepared the land and applied fertilizer in a balanced amount
56,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about the right time and fertilizer management of chili cultivation,"Can be cultivated throughout the year. It is recommended to apply Urea, TSP, MOP, Zinc, Boron in balanced doses.",Mobile Clinic,06.11.24- Prepared the land and applied fertilizer in a balanced amount
57,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about the right time and fertilizer management of chili cultivation,"Can be cultivated throughout the year. It is recommended to apply Urea, TSP, MOP, Zinc, Boron in balanced doses.",Mobile Clinic,06.11.24- Prepared the land and applied fertilizer in a balanced amount
58,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about the right time and fertilizer management of chili cultivation,"Can be cultivated throughout the year. It is recommended to apply Urea, TSP, MOP, Zinc, Boron in balanced doses.",Mobile Clinic,06.11.24- Prepared the land and applied fertilizer in a balanced amount
59,27.10.24,Rampal,Gobindapur,Uzalkur,Bottle Gourd leaves are turning yellow and dying.,"This is happening due to the Downi mildeu problem. After removing the water from the field, spray with cypermethrin , mencoze+carbendazim group @2ml/L fungicides at 1+7+14 days interval.",Mobile Clinic,03.11.24- Spraying 1st round  and reduced the problem
60,27.10.24,Rampal,Gobindapur,Uzalkur,Bottle Gourd leaves are turning yellow and dying.,"This is happening due to the Downi mildeu problem. After removing the water from the field, spray with cypermethrin , mencoze+carbendazim group @2ml/L fungicides at 1+7+14 days interval.",Mobile Clinic,03.11.24- Spraying 1st round  and reduced the problem
61,27.10.24,Rampal,Gobindapur,Uzalkur,Bottle Gourd leaves are turning yellow and dying.,"This is happening due to the Downi mildeu problem. After removing the water from the field, spray with cypermethrin , mencoze+carbendazim group @2ml/L fungicides at 1+7+14 days interval.",Mobile Clinic,03.11.24- Spraying 1st round  and reduced the problem
62,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
63,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
64,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
65,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
66,27.10.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
20,04.09.24,Rampal,Gobindapur,Uzalkur,How to prepare land and apply organic fertilizer for growing homestead vegetables,Training is provided on growing vegetables in the homestead using climate-adaptive technology.,Mobile Clinic,04.11.9.24- Have started preparing the land and sowing seeds
21,04.09.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
22,04.09.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
23,04.09.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
24,04.09.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
25,04.09.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
26,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf borer infestation on various vegetables,It is recommended to sprinkle cooking ash,Mobile Clinic,07.11.24- Spreading ashes reduces the disease infestation
27,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf borer infestation on various vegetables,It is recommended to sprinkle cooking ash,Mobile Clinic,07.11.24- Spreading ashes reduces the disease infestation
28,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf borer infestation on various vegetables,It is recommended to sprinkle cooking ash,Mobile Clinic,07.11.24- Spreading ashes reduces the disease infestation
29,04.09.24,Rampal,Gobindapur,Uzalkur,Leaf borer infestation on various vegetables,It is recommended to sprinkle cooking ash,Mobile Clinic,07.11.24- Spreading ashes reduces the disease infestation
30,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
31,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
32,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
33,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
34,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
35,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
36,14.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
37,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
38,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
39,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
40,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
41,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,07.11.24- Land preparation is ongoing.
42,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about land preparation and pests management for sunflower cultivation,Handsome training provided for sunflower cultivation,Mobile Clinic,11.11.24- Land preparation on going
43,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know about land preparation and pests management for sunflower cultivation,Handsome training provided for sunflower cultivation,Mobile Clinic,11.11.24- Land preparation on going
44,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
45,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
46,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
47,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
48,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
49,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
50,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
51,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
52,27.10.24,Rampal,Gobindapur,Uzalkur,Wanted to know details about land preparation and fertilizer management for year-round vegetable cultivation in the Rabi season,Advisory support is given about climate-resilient vegetable production technology and climate-adaptive varieties for the Rabi season.,Mobile Clinic,17.11.24- Land preparation is ongoing.
53,27.10.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"17.11.9.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use homemade insecticides "
54,27.10.24,Rampal,Gobindapur,Uzalkur,Fruit Fly infestation in Bottle gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land,Mobile Clinic,"17.11.9.24- As Pheromone Trap& Yellow sticky traps are not available in the local market, it is recommended to use homemade insecticides "
102,27.11.24,Rampal,Bara Nababpur,Uzalkur,The flowers on the tomato plant are falling off.,It is recommended to use Solubor Boron and Chelated Zinc @ 2gm/L,Mobile Clinic,17.11.24- Spray has started
103,27.11.24,Rampal,Bara Nababpur,Uzalkur,The flowers on the tomato plant are falling off.,It is recommended to use Solubor Boron and Chelated Zinc @ 2gm/L,Mobile Clinic,17.11.24- Spray has started
55,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
56,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
57,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
58,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
59,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
60,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
61,27.10.24,Rampal,Gobindapur,Uzalkur,Tomato leaf curl & Aphid ingfestation,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval),Mobile Clinic,06.12.24-  Spreading  reduces the disease infestation
